name,lat,lon,street,city
Bệnh viện Đại học Y Dược,20.99362119394733,105.79748340236785,Nguyễn Quý Đức,Hà Nội
District Hospital,20.945736158167936,105.61701246666664,,
Bệnh viện Đa khoa Quốc tế Thu Cúc,21.04512193296331,105.8144634243224,Phố Thụy Khuê,
Bệnh Viện Đa Khoa Hồng Ngọc,21.042415616319005,105.84431906649291,,
Trung tâm Y tế quận Hoàn Kiếm,21.035030225801613,105.85241129673228,Phố Lương Ngọc Quyết,
Bệnh viện Da liễu Hà Nội,21.028111048067185,105.83858847900864,Phố Nguyễn Khuyến,Ha Noi
Bệnh viện Đa khoa Quốc tế Hồng Hà,21.026828944665063,105.8390606022226,Phố Nguyễn Như Đổ,
Bệnh viện Phụ sản Trung ương,21.02667023216649,105.84692861233763,Phố Tràng Thi,Hà Nội
Bệnh viện K,21.02689833805328,105.84613512362571,Phố Quán Sứ,Hà Nội
Bệnh viện Hữu nghị Việt Đức,21.028532809646077,105.84709882256811,Phố Phủ Doãn,
Bệnh viện Răng Hàm Mặt Trung ương Hà Nội,21.02773767245924,105.84637768597382,Phố Tràng Thi,Hà Nội
Bệnh viện Mắt Hà Nội (Trụ sở chính),21.02410003269437,105.85034082614342,Phố Hai Bà Trưng,
Bệnh viện Công an thành phố Hà Nội,20.96281583805269,105.768874651679,,
Bệnh viện Hữu Nghị,21.015511772305462,105.86176994494184,Đường Trần Khánh Dư,Hà Nội
Bệnh viện Mắt Trung ương,21.017597158236335,105.84958560729338,Phố Bà Triệu,Hà Nội
Bệnh viện Y học cổ truyền Bộ Công an,20.996174429463487,105.78923778222214,Đường Lương Thế Vinh,Hà Nội
Viện Y học cổ truyền Quân đội,20.972714438145506,105.82330260246025,Đường Kim Giang,Hà Nội
Bệnh viện Đông Đô,21.009331930906903,105.83798913166166,Phố Xã Đàn,Hà Nội
Bệnh viện Mắt Quốc tế DND,21.012991430014534,105.8496680573847,Phố Bùi Thị Xuân,Hà Nội
Bệnh viện Thanh Nhàn,21.00373692617552,105.85915159912273,Phố Thanh Nhàn,Hà Nội
Bệnh viện Ung bướu Hà Nội,21.004517751395937,105.8593662327145,Phố Thanh Nhàn,Hà Nội
Bệnh viện Phổi Hà Nội,21.0033958506998,105.8583771073372,Phố Thanh Nhàn,Hà Nội
Bệnh viện Đa khoa Đức Giang,21.061448600919515,105.89822603143996,Phố Trường Lâm,Hà Nội
Bệnh viện Tim Hà Nội,21.02398815827961,105.84397696506184,Phố Trần Hưng Đạo,Hà Nội
Trung tâm Y tế quận Nam Từ Liêm,21.038789293062237,105.76575048917776,,
Trung tâm Y tế quận Hà Đông,20.967604685859985,105.77915496634256,Phố Tô Hiệu,
Bệnh viện Quân y 103,20.96786298475451,105.79028096587577,Đường Phùng Hưng,
Bệnh viện Bỏng Quốc gia Lê Hữu Trác,20.96678717974374,105.7924646833911,Đường Phùng Hưng,
Viện Y học phóng xạ và U bướu Quân đội,20.980884716730777,105.82011787587952,Định Công Thượng,Hà Nội
Bệnh viện Nội tiết Trung ương,20.95229519991554,105.85101263853392,Đường Nguyễn Bồ,Hà Nội
Bệnh viện E,21.050353444892945,105.78861258926604,Đường Trần Cung,Hà Nội
Bệnh viện Thẩm mỹ Kangnam Hàn Quốc,21.000571927482504,105.83062398684103,Đường Trường Chinh,Hà Nội
Viện Y học Phòng không - Không quân,21.00037149533813,105.82577480415289,,
Viện Huyết học - Truyền máu Trung ương,21.024712155909327,105.78837363723096,Phố Phạm Văn Bạch,Hà Nội
Bệnh viện Thận Hà Nội,21.0189176818578,105.80639183023068,Đường Nguyễn Chí Thanh,Hà Nội
Bệnh viện Đa khoa Hà Đông,20.97142237888101,105.77420760585709,,
Bệnh viện Bắc Thăng Long,21.163160513186885,105.85777219998606,,Hà Nội
Bệnh viện Đa khoa Thanh Trì,20.94875186235796,105.84638983879776,,Hà Nội
Bệnh viện Đa khoa Hoè Nhai,21.04082902964247,105.84603463638862,,
Bệnh viện Đa khoa Đông Anh,21.139322941667764,105.853244772724,,
Bệnh viện Đa khoa Vân Đình,20.725430223196152,105.7740104843153,,Hà Nội
Bệnh viện K - Cơ sở Tân Triều,20.96373195750254,105.79943652515688,Đường Cầu Bươu,Hà Nội
Bệnh viện Tim Hà Nội,21.06841018003159,105.80721492432475,Đường Võ Chí Công,Hà Nội
Bệnh viện Da liễu Hà Nội (cơ sở 3),20.92873389687229,105.56023777963196,,
Bệnh viện Tâm thần Hà Nội,21.034987151541504,105.9095334003869,Ngõ 467 Nguyễn Văn Linh,Hà Nội
Bệnh viện Da liễu Hà Nội (cơ sở 2),20.970053219839244,105.77300386641606,,
Bệnh viện Đa khoa Y học cổ truyền Hà Nội,21.03471465852861,105.77941680227843,Đường Phạm Hùng,Hà Nội
Bệnh viện Y học cổ truyền Hà Đông,20.970875964297285,105.7715400760591,,
Bệnh viện Tâm thần Mỹ Đức,20.80377856085655,105.70389661797029,,Hà Nội
Bệnh viện 09,20.96060996590236,105.80196816640012,,
Bệnh viện Đa khoa Phúc Thọ,21.10398272037614,105.5563277097079,,Hà Nội
Bệnh viện Đa khoa Thạch Thất,21.05063552512655,105.57040658495816,,Hà Nội
Bệnh viện Đa khoa Sóc Sơn,21.24977812598737,105.84709742690924,Đường Bệnh Viện,Hà Nội
Bệnh viện Đa khoa Quốc Oai,20.990548489371623,105.64351693972588,,
Bệnh viện Quân y 105,21.115524752822346,105.49713826696872,,
Bệnh viện Đa khoa Sơn Tây,21.15230449668025,105.5061620028622,Phố Lê Lợi,Hà Nội
Bệnh viện Bệnh nhiệt đới Trung ương (cơ sở 2),21.131277058164,105.77437053463636,,
Bệnh viện K (cơ sở 2),20.95457076678008,105.8322756054664,,Hà Nội
Trung tâm Y tế quận Hoàng Mai,20.968214691803336,105.84649832697912,,Hà Nội
Bệnh viện Đa khoa Mê Linh,21.180071524131225,105.681985004643,,Hà Nội
Trung tâm Y tế quận Hai Bà Trưng,21.01659791915464,105.8570628525337,Phố Phạm Đình Hổ,Hà Nội
Trung tâm Y tế quận Thanh Xuân,20.99090723579452,105.81237782367536,Ngõ 282 Đường Khương Đình,Hà Nội
Bệnh viện Đa khoa Ba Vì,21.21636314071524,105.41000675668744,,Hà Nội
Bệnh viện Đa khoa Phú Xuyên,20.73048919458757,105.9144956365358,,Hà Nội
Bệnh viện Đa khoa Đan Phượng,21.08727525556636,105.67131053036024,,Hà Nội
Bệnh viện Đa khoa Chương Mỹ,20.920834313486026,105.69842392530116,,Hà Nội
Bệnh viện Đa khoa Hoài Đức,21.056402965393957,105.70218924399072,,Hà Nội
Bệnh viện Đa khoa Thanh Oai,20.862090164670924,105.75735579728077,,Hà Nội
Bệnh viện Đa khoa Mỹ Đức,20.678242074979185,105.75455198753664,,Hà Nội
Bệnh viện Đa khoa Quốc tế Vinmec Smart City,21.00775473390161,105.7471881094956,Đường Tây Mỗ,Hà Nội
Bệnh viện Đa khoa Hồng Phát,21.0183842232036,105.84163036049696,Đường Lê Duẩn,Hà Nội
Bệnh Viện Đức Phúc,21.01423267499513,105.84090583249368,Phố Ô Đồng Lầm,Hà Nội
Bệnh viện Bưu Điện,21.0112635304443,105.85212513626144,,
Bệnh viện Đa khoa Nông nghiệp,20.92115210716436,105.85333732356712,,
Phòng Khám Đa Khoa Linh Đàm,20.97031677860525,105.82897522455612,Bắc Linh Đàm,Hà Nội
Bệnh viện Việt Pháp,21.003693403761144,105.8403418608606,Phố Phương Mai,Hà Nội
Bệnh viện Đa khoa Thường Tín,20.86849373202434,105.85888039693047,,Hà Nội
Bệnh viện Đa khoa Hồng Ngọc - Phúc Trường Minh,21.009384400950903,105.76916721417852,Đường Châu Văn Liêm,Hà Nội
Trung tâm Y tế quận Tây Hồ,21.048066740575752,105.8103385737349,,
Bệnh viện Chỉnh hình và Phục hồi chức năng Hà Nội,21.11016206474537,105.44383234585432,,
Bệnh viện Lão khoa Trung ương,21.00363500257944,105.83959115256418,Phố Phương Mai,Hà Nội
Bệnh viện Da liễu Trung ương,21.003774688591008,105.83879398013268,Phố Phương Mai,Hà Nội
Bệnh viện Tai-Mũi-Họng Trung ương,20.999691240626376,105.84067852818796,Đường Giải Phóng,Hà Nội
